scientific_name,longitude,latitude
Empidonomus aurantioatrocristatus,-70.2604969,-3.8141647
Empidonomus aurantioatrocristatus,-60.48,-35.65
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-76.3734679,-0.4983038
Empidonomus aurantioatrocristatus,-76.370872,-0.4989532
Empidonomus aurantioatrocristatus,-65.5993652,-37.9983271
Empidonomus aurantioatrocristatus,-62.5633333,-19.55
Empidonomus aurantioatrocristatus,-64.1168976,-25.1272576
Empidonomus aurantioatrocristatus,-59.6138763,-26.8058397
Empidonomus aurantioatrocristatus,-58.5130003,-23.8261173
Empidonomus aurantioatrocristatus,-72.3115826,-3.5439904
Empidonomus aurantioatrocristatus,-65.4797709,-31.375999
Empidonomus aurantioatrocristatus,-67.0003366,1.9501258
Empidonomus aurantioatrocristatus,-62.4661111,-19.2436111
Empidonomus aurantioatrocristatus,-55.8317728,-15.4071952
Empidonomus aurantioatrocristatus,-65.4797709,-31.375999
Empidonomus aurantioatrocristatus,-61.66,-21.02
Empidonomus aurantioatrocristatus,-73.0865479,-3.0472684
Empidonomus aurantioatrocristatus,-73.6049652,-4.7413283
Empidonomus aurantioatrocristatus,-63.1425476,-17.6578445
Empidonomus aurantioatrocristatus,-62.835,-35.2806667
Empidonomus aurantioatrocristatus,-76.3734679,-0.4983038
Empidonomus aurantioatrocristatus,-69.2842054,-12.8318033
Empidonomus aurantioatrocristatus,-63.21641,-17.78035
Empidonomus aurantioatrocristatus,-64.9805556,-13.915
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-73.4107344,-2.9885283
Empidonomus aurantioatrocristatus,-55.9315848,-9.6406571
Empidonomus aurantioatrocristatus,-73.0865479,-3.0472684
Empidonomus aurantioatrocristatus,-64.4353294,-31.6558655
Empidonomus aurantioatrocristatus,-70.2604969,-3.8141647
Empidonomus aurantioatrocristatus,-75.6562473,-7.1334806
Empidonomus aurantioatrocristatus,-70.063871,-3.1054997
Empidonomus aurantioatrocristatus,-62.695,-19.6255556
Empidonomus aurantioatrocristatus,-58.2115746,-31.8714351
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-69.9996576,-3.0470286
Empidonomus aurantioatrocristatus,-60.31,-20.31
Empidonomus aurantioatrocristatus,-60.86,-22.65
Empidonomus aurantioatrocristatus,-71.3631535,-12.8804739
Empidonomus aurantioatrocristatus,-72.8496659,-3.4426683
Empidonomus aurantioatrocristatus,-64.484836,-31.210371
Empidonomus aurantioatrocristatus,-57.7333333,-25
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-64.4979858,-30.9805917
Empidonomus aurantioatrocristatus,-76.3723698,-0.4926106
Empidonomus aurantioatrocristatus,-59.3111111,-22.545
Empidonomus aurantioatrocristatus,-64.4353294,-31.6558655
Empidonomus aurantioatrocristatus,-67.475,-15.669
Empidonomus aurantioatrocristatus,-55.8392492,-15.3846307
Empidonomus aurantioatrocristatus,-60.3417708,-22.3553571
Empidonomus aurantioatrocristatus,-56.3871574,-15.1155472
Empidonomus aurantioatrocristatus,-63.21641,-17.78035
Empidonomus aurantioatrocristatus,-65.0307262,-31.6827229
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-63.1605721,-17.9483605
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-61.8874226,-9.7298119
Empidonomus aurantioatrocristatus,-63.1980801,-17.7240252
Empidonomus aurantioatrocristatus,-64.9164534,-25.3122958
Empidonomus aurantioatrocristatus,-72.8496659,-3.4426683
Empidonomus aurantioatrocristatus,-59.25,-23.25
Empidonomus aurantioatrocristatus,-75.490669,-0.602844
Empidonomus aurantioatrocristatus,-63.1605721,-17.9483605
Empidonomus aurantioatrocristatus,-58.57,-23.63
Empidonomus aurantioatrocristatus,-71.3631535,-12.8804739
Empidonomus aurantioatrocristatus,-43.9962959,-19.8564982
Empidonomus aurantioatrocristatus,-76.3740048,-0.486637
Empidonomus aurantioatrocristatus,-58.3539677,-34.6082039
Empidonomus aurantioatrocristatus,-71.8772631,-3.3919686
Empidonomus aurantioatrocristatus,-72.9087496,-3.2492338
Empidonomus aurantioatrocristatus,-77.6160838,-1.0858764
Empidonomus aurantioatrocristatus,-64.4979858,-30.9805917
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-57.38,-24.75
Empidonomus aurantioatrocristatus,-62.58,-19.4236111
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-62.7105081,-19.8005844
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-75.6562473,-7.1334806
Empidonomus aurantioatrocristatus,-64.45112,-18.01187
Empidonomus aurantioatrocristatus,-63.0697632,-17.7664245
Empidonomus aurantioatrocristatus,-69.9996576,-3.0470286
Empidonomus aurantioatrocristatus,-57.9933929,-31.3712266
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-62.9028525,-17.2220692
Empidonomus aurantioatrocristatus,-64.4353294,-31.6558655
Empidonomus aurantioatrocristatus,-48.1423044,-13.3459993
Empidonomus aurantioatrocristatus,-62.3822222,-19.4391667
Empidonomus aurantioatrocristatus,-61.8874226,-9.7298119
