"longitude","latitude"
-70.2640606,-3.8210089
-60.48,-35.65
-69.6119071,-13.1372421
-76.4746108,-0.4788399
-65.5993652,-37.9983271
-62.5633333,-19.55
-64.0937012,-25.1111646
-59.597035,-26.811024
-58.5130003,-23.8261173
-72.2355556,-3.6172222
-65.4440545,-31.4239388
-67.0556974,1.9216462
-62.4661111,-19.2436111
-55.824666,-15.4440009
-61.66,-21.02
-73.0865479,-3.0472684
-73.5294342,-4.6872982
-63.1425476,-17.6578445
-62.835,-35.2806667
-69.258539,-12.7798449
-63.2050865,-17.7713167
-64.9805556,-13.915
-73.4107344,-2.9885283
-55.9187794,-9.5856011
-64.4338889,-31.6427778
-75.6562473,-7.1334806
-70.063871,-3.1054997
-62.695,-19.6255556
-58.2985174,-31.9789171
-72.9087496,-3.2492338
-69.9959679,-3.0474113
-60.31,-20.31
-60.86,-22.65
-71.4030866,-12.8945735
-72.8496659,-3.4426683
-64.3469362,-31.2177655
-57.75,-25.16
-64.4931005,-30.9490635
-59.31111,-22.545
-67.475,-15.669
-55.996292,-15.412642
-60.343321,-22.3543
-56.3871574,-15.1155472
-65.0406323,-31.7317106
-63.1654429,-17.9122251
-61.8874226,-9.7298119
-64.9164534,-25.3122958
-59.25,-23.25
-75.490669,-0.602844
-58.57,-23.63
-43.91902,-19.96192
-58.3625202,-34.5986182
-71.8772631,-3.3919686
-77.6619795,-1.0449945
-69.2934027,-12.8369198
-57.38,-24.75
-62.58,-19.4236111
-62.7105081,-19.8005844
-64.45112,-18.01187
-63.1474159,-17.6984282
-57.9933929,-31.3712266
-62.9028525,-17.2220692
-48.1423044,-13.3459993
-62.4588889,-19.4575
-57.0341492,-19.5148968
-74.4320297,-4.8951493
-76.8058491,-6.0528395
-63.5333,-31.25
-65.0051191,-32.4082626
-58.8614845,-26.2181331
-59.6763889,-22.5402778
-72.7464437,-9.4264552
-57.1876144,-27.7103167
-57.0497222,-9.1338889
-66.5005845,-13.4442906
-64.66587,-17.82745
-62.5913889,-19.0283333
-60.425,-19.2608333
-57.66,-24.66
-60.2763889,-19.0166667
-64.56,-17.93
-69.9459466,-4.0875889
-76.8593645,-2.5416598
-63.7110332,-17.4935212
-57.4751612,-15.642929
-64.9301434,-14.113031
-76.3974008,-0.6745278
-66.3997793,-27.5915558
-71.0866667,-12.1247222
-58.799,-23.499
-64.5501709,-31.9579882
-63.1961817,-17.8336607
-60.6280518,-17.2772187
-70.173015,-4.3024262
-77.7387353,-1.0298594
-65.4720485,-32.8259142
-70.705822,-12.446737
-64.8495054,-23.7608379
-58.9716124,-27.2454095
-76.6170283,-0.3955607
-63.7578728,-31.300746
-70.7993317,-12.2870047
-46.3688144,-20.2441648
-76.14848,-0.63721
-62.560819,-19.922432
-64.4974098,-31.3389375
-73.4213745,-3.0095941
-64.611912,-18.015737
-66.1819725,-27.8567295
-66.3055372,-27.5938049
-59.2666667,-19.5833333
-62.7645493,-30.9042868
-59.617412,-18.3308723
-72.211344,-3.479624
-69.6744112,-13.4843178
-61.6166667,-23.1666667
-69.7421515,-2.8890823
-72.7567649,-9.5340984
-77.5118172,-2.381802
-62.6166667,-14.6333333
-76.3308,-1.06721
-62.3113889,-19.5308333
-62.8222489,-38.4102633
-72.75,-3.58
-64.5423174,-30.775368
-58.714169,-33.487461
-73.3230972,-3.0270408
-72.7161026,-3.4497494
-70.9404802,-3.9740322
-57.9593825,-35.7869054
-60.0349962,-22.3984898
-57.88,-24.75
-64.633333,-24.7
-56.3042772,-19.95431
-58.331,-24.081
-48.2577467,-13.499864
-60.7340784,-9.1587927
-60.5397222,-19.4322222
-42.5550652,-8.8289964
-64.2445707,-31.373938
-60.6205556,-19.2952778
-61.86,-38.1176667
-75.2601242,-0.6442773
-67.5084356,-30.6882296
-69.93536,-4.1786485
-59.975481,-2.9300332
-71.2225628,-11.9977657
-59.3395102,-22.5690448
-60.81,-18.516
-73.5568139,-3.900197
-62.0405556,-16.1344444
-65.0934792,-40.8151084
-65.470785,-34.747397
-64.6678283,-30.052045
-69.6006954,-12.9978882
-58.1423333,-25.044
-47.5195579,-6.6609328
-47.834285,-15.818464
-71.39072,-12.82953
-63.0811111,-19.7841667
-62.5213889,-18.9591667
-71.49185,-13.0236
-58.5833333,-23.9333333
-62.5086111,-19.175
-77.74487,-0.99282
-62.1997222,-19.9016667
-64.6960831,-31.6603951
-64.5580795,-31.487025
-64.5180393,-30.8733097
-70.2333333,-3.85
-62.6906061,-19.937407
-60.1138186,-2.5856297
-59.5678067,-22.6097323
-77.2647346,-0.8779374
-59.0452778,-22.6272222
-49.8598936,-21.53655
-58.4591667,-22.6497222
-59.7522222,-21.1441667
-50.090942,-6.044372
-47.936787,-15.849359
-60.0216667,-23.6930556
-65.3716667,-10.2263889
-50.1917267,-6.05043
-59.4235989,-28.5177961
-57.45,-24.8833333
-70.100114,-12.56893
-62.9574966,-36.7498885
-59.32,-22.6805556
-63.6281399,-18.1372304
-58.7544444,-19.845
-65.4774857,-26.2236
-44.802973,-17.3972325
-73.280292,-3.770081
-59.3025,-19.9838889
-71.23127,-12.656502
-63.985,-11.5902778
-60.3166667,-22.9333333
-58.7819444,-19.7802778
-73.0766344,-3.5174047
-63.8604934,-18.1789221
-60.5941165,-22.0083734
-60.5280556,-23.5252778
-60.9570408,-31.766462
-58.8817833,-34.19895
-63.422699,-30.9128292
-71.1035156,-12.4204832
-63.5380554,-30.509625
-65.4868746,-25.2816233
-57.1972275,-28.5699745
-55.887119,-15.313386
-62.51,-22.25
-77.8633118,-4.5977854
-59.05,-22.3166667
-56.8142026,-29.4719135
-61.58,-20.29
-57.685609,-30.534762
-57.7203552,-30.4898359
-64.7785103,-31.9177871
-64.71595,-37.39906
-65.1756406,-32.3356983
-63.1279872,-38.5060556
-76.7590928,-0.4650685
-64.9922419,-32.3200124
-67.503603,-14.667813
-59.7,-19.95
-58.3273751,-26.3659127
-57.65,-25.2731667
-59.83,-23.85
-68.4969444,-34.815
-76.282413,-0.435816
-58.3,-24.18
-59.2121887,-29.7834495
-58.36,-24.15
-71.7213478,-12.0685758
-56.2204742,-20.2918254
-65.031209,-32.3035296
-59.7588889,-22.1036111
-63.9338529,-30.0932691
-63.8111901,-30.6232519
-69.5350027,-11.3958817
-58.67,-24.28
-64.966672,-25.799987
-63.4708333,-21.3066667
-63.4161111,-21.8386111
-61.0025954,-31.2402148
-63.0838889,-21.8380556
-55.9648456,-20.0956205
-64.933877,-14.5406345
-61.0839844,-14.8810872
-76.4391319,-0.5176733
-77.2582684,-6.0132866
-78.3167,-4.8501
-47.2812875,-4.7011122
-61.1925817,-31.6994442
-63.4838889,-20.1366667
-59.9582752,-30.636946
-56.0055542,-15.318625
-48.1659079,-18.8061368
-58.56,-24.26
-48.0762362,-18.8623515
-47.3052778,-4.8855556
-57.6795,-30.9021667
-58.6447319,-30.3053446
-67.0770264,-0.1284026
-76.1289454,-0.3985087
-64.823,-18.131
-44.9355412,-17.3496553
-57.76,-24.49
-60.0166667,-21.7333333
-64.508763,-13.8054294
-59.9606323,-3.2529507
-61.7847662,-28.5184529
-48.287251,-18.7906583
-66.7967033,-14.1219473
-77.3975658,-1.0329164
-56.6384,-16.2409
-61.9166667,-22.5333333
-79.4194257,9.1679837
-59.6525,-23.08444
-57.5370634,-24.9908717
-68.1359439,-13.7967996
-66.3071569,-30.3602232
-57.9311228,-30.9694134
-62.5540924,-30.7996538
-61.7807342,-24.2355033
-58.849795,-24.9919913
-58.5161018,-25.9112694
-63.504561,-19.350096
-65.2498627,-24.4501968
-64.9830572,-22.2527456
-67.915524,-14.170415
-65.2744102,-27.4261172
-62.2301373,-40.5551811
-60.3197,-24.3763
-58.057251,-28.0113766
-55.4054647,-20.5229363
-59.1394043,-23.150462
-73.4089279,-3.9464025
-67.621,-27.6815
-74.40966,-3.5222
-56.774826,-17.365132
-68.9888191,-11.0316002
-53.7336588,-32.1323944
-58.0758762,-29.1844633
-62.5204468,-21.610834
-50.7080412,-11.7139099
-60,-22.5
-61.4053345,-21.3853112
-63.6846223,-23.3451576
-63.1035,-23.3801667
-55.8405394,-20.5362481
-60.3808594,-22.187405
-66.3549406,-30.6118941
-74.0588379,4.6366545
-58.798871,-33.5045444
-58.541591,-34.306755
-69.2385864,-11.0503862
-67.8275728,-29.4536218
-69.1890212,-12.6271581
-57.8768211,-34.86523
-57.255249,-28.4798776
-64.228713,-17.404819
-77.3105297,-0.6992599
-59.1998291,-16.4044705
-60.6656667,-21.9755
-58.8592529,-23.4456088
-58.2691667,-20.1841667
-55.072978,-19.9323308
-62.9475403,-20.5562953
-64.2057831,-24.7341044
-64.2815262,-32.4826057
-56.9495201,-10.3420245
-57.42455,-28.6553
-60.132656,-26.214263
-54.3942192,-21.4711336
-50.399262,-20.182551
-57.8437364,-31.5366825
-76.0448313,-9.2476673
-76.3562186,-6.4849824
-63.1713867,-38.2338654
-50.162386,-19.316547
-64.4327438,-33.5373169
-56.7310059,-20.7397399
-68.2248187,-29.3197437
-64.51124,-31.04864
-57.4166667,-26.7833333
-58.0468009,-32.4650055
-60.588398,-24.7041082
-60.6939697,-24.1492598
-68.9110565,-12.9510292
-63.8519814,-23.2181132
-59.9386662,-26.0430301
-65.3775358,-35.1306142
-60.1555758,-26.7054324
-70.8876514,-12.2846565
-48.702178,-18.0248535
-50.369034,-19.851149
-70.661319,-12.455542
-63.8835927,-24.3809485
-70.9588207,-12.3417902
-47.7574396,-15.5578907
-76.71999,-6.31142
-61.9615104,-26.1776584
-64.9588889,-31.7591667
-67.9833333,-32.3833333
-64.9601841,-24.9183553
-55.9598923,-28.3811309
-60.9621497,-8.494205
-57.9575952,-32.5293613
-64.9868345,-32.3782943
-64.6652457,-29.8796763
-64.7202173,-15.191745
-64.9460888,-14.7246315
-39.0204763,-9.944081
-59.95,-22.7666667
-67.910668,-34.033934
-70.5211111,-2.7180556
-65.0528696,-9.600436
-58.5618281,-33.0013744
-63.9936018,-30.3016125
-65.1664024,-29.332983
-71.4858333,-2.6105556
-59.7818623,-29.7350453
-64.7333,-30.7667
-58.7148321,-33.67289
-57.1429825,-28.5365761
-67.6224482,-39.1128177
-73.200128,-4.35112
-43.6075,-19.3539
-47.1434645,-7.2392076
-66.6333,-33.6667
-74.7399902,-5.4136796
-60.8959259,-31.4571705
-60.6195731,-32.85769
-78.656961,-4.262422
-65.4047259,-9.6721695
-77.6290512,-5.6838741
-67.2934914,2.6546512
-65.3724836,-9.6035654
-73.4074637,-4.4688064
-69.1844838,-11.2767249
-63.2694444,-18.7105556
-63.2828728,-23.8537387
-69.212685,-11.710204
-77.5972295,-0.6773171
-66.5758714,-33.6560016
-58.0025395,-31.3993568
-57.317,-25.237
-48.338931,-10.258819
-64.9254227,-25.8579878
-66.0984278,-13.763229
-65.5809126,-28.0769821
-67.4700722,-14.4660917
-63.1955556,-18.0530556
-58.7111092,-33.2978211
-68.8568974,-32.5861105
-77.9685645,-5.8240453
-63.412348,-20.3700129
-49.6118094,-10.7924027
-59.82587,-22.3761
-67.0092255,-32.4981891
-63.7281275,-17.5218637
-57.41575,-28.6884833
-73.647004,-4.589442
-68.823747,-12.468764
-48.058977,-15.814961
-69.0324447,-12.6061403
-58.072117,-32.586065
-64.02504,-30.09247
-59.7193548,-5.538168
-65.2182662,-32.1765206
-56.6015625,-19.668453
-64.2701869,-36.9134194
-59.5436552,-22.3479387
-59.6940347,-5.2561767
-51.6522209,-20.7487447
-56.6208333,-16.3786111
-73.2252402,-4.3237496
-43.3602905,-4.865206
-58.6274648,-26.244718
-70.354519,-3.780409
-65.3598879,-32.213184
-65.105238,-24.6582112
-69.7450561,-12.7163429
-64.9890724,-32.6751653
-64.9469233,-31.0668033
-63.1262104,-20.2193063
-58.5641563,-26.4091483
-64.459022,-31.119237
-76.7251781,-1.1019685
-66.0473026,-33.1115549
-56.0252523,-15.4577035
-71.22954,-12.00496
-38.7072236,-9.9541615
-64.4002998,-24.0983423
-47.63283,-15.67814
-64.2697222,-31.2997222
-69.2011052,-32.9591084
-73.2432532,-3.6353205
-62.963,-19.988
-60.8785915,-2.6397012
-63.3336667,-24.1506667
-70.132043,-13.194839
-45.9379578,-20.4460797
-76.4676389,1.0236667
-65.1844865,-30.905907
-58.08554,-24.97734
-59.9539375,-29.9807013
-48.4577402,-14.4108839
-62.6909924,-20.0089194
-64.7190857,-29.8612099
-66.0099792,-28.7210215
-57.8914905,-31.8397587
-71.40751,-11.887532
-57.7371667,-37.9393333
-57.97726,-28.98679
-77.8107437,-5.6958272
-45.1306772,-22.119915
-64.2827322,-32.64029
-65.019028,-32.060192
-56.69135,-16.4569228
-47.8065348,-18.5232366
-64.500713,-23.934569
-76.299959,-7.396457
-65.02805,-31.86458
-57.504785,-30.202281
-59.9732924,-17.8226509
-57.495989,-30.197908
-64.8858118,-7.3387708
-62.4367996,-39.5520559
-70.0661016,-12.8590839
-46.65734,-7.25983
-70.2381795,-12.9103427
-64.8455572,-7.3194464
-60.4826803,-32.3214698
-64.75094,-32.66021
-73.91,-6.265
-61.7019653,-31.9107875
-60.2268974,-21.8162296
-73.8655556,-5.81
-58.9696795,-27.6927529
-58.7443786,-30.3827223
-66.1473083,-39.1642741
-77.008965,-6.040472
-69.401,-11.24318
-62.7058411,-32.4390177
-64.3040322,-39.4665823
-76.30847,-6.43111
-67.2010088,-14.2658492
-61.9425488,-24.0930144
-47.4125719,-7.1006372
-56.6988087,-17.2826279
-67.325798,-3.270533
-76.9831753,-0.4710335
-44.0281981,-19.9801853
-76.3941193,-7.1513119
-67.1175,-32.5755
-64.3771165,-27.6539426
-65.117588,-31.367275
-59.2241667,-23.1105556
-63.53003,-20.01502
-47.821543,-15.825589
-49.650178,-5.9746316
-59.9776268,-30.2454251
-76.3776398,-7.481623
-60.7398462,-17.847898
-64.5667,-32.8833
-62.449986,-37.660019
-60.5197334,-31.725685
-58.6794698,-27.5523021
-57.7217505,-25.2965259
-64.5286098,-30.4188853
-50.635486,-18.95485
-60.3272377,-31.7233277
-62.8685975,-24.1629649
-65,-25.1333333
-64.4433459,-30.7013302
-65.2302417,-24.8071083
-65.5232763,-25.2694585
-68.387245,-32.110794
-59.4581795,-30.6706955
-62.890658,-30.935495
-65.801239,-28.1635886
-48.9263157,-16.647198
-58.4193587,-30.5128657
-70.1615238,1.222102
-62.533,-33.69908
-54.6947318,-20.4489558
-58.227788,-26.212203
-58.6546326,-33.7197708
-58.5235718,-32.4266328
-58.5113657,-27.2962662
-69.338665,-12.7905868
-69.4974183,-12.8733271
-57.8808421,-28.3876722
-60.1955925,-29.4648854
-63.9485639,-31.6485472
-58.6993933,-27.1645291
-64.8864306,-27.5193393
-57.5632364,-28.6833216
-70.2029163,1.2710506
-54.8974907,-19.9391344
-48.2846224,-18.8727373
-57.9630089,-30.6496718
-45.25663,-21.18511
-40.5199467,-9.4137329
-43.695571,-6.870782
-48.247672,-10.231259
-65.23559,-26.566833
-60.6458599,-32.0116809
-58.0026197,-31.2287024
-66.2948335,-33.3035007
-48.300823,-1.2025532
-58.8740202,-30.4062823
-77.793889,-2.9736845
-70.094079,1.122262
-48.29007,-3.73145
-48.7665939,-15.7796994
-50.025223,-6.498424
-60.2558333,-29.6922222
-58.0180639,-30.7459068
-46.2077665,-16.0488654
-63.7221081,-30.734045
-56.9726515,-29.78263
-61.8344879,-26.0089669
-56.7934842,-28.3081502
-61.149559,-30.198553
-67.9088026,-14.1624188
-65.7511246,-28.5928308
-75.869807,-0.6229021
-55.8460379,-20.3089718
-59.9421075,-32.4041078
-59.0155184,-26.8925451
-57.5231923,-25.0375081
-63.2966566,-25.6052832
-43.639576,-6.887932
-61.6475487,-1.8321926
-65.047932,-24.379479
-55.757761,-20.4472807
-62.9089808,-23.5153434
-60.3772545,-29.5821906
-62.9112339,-16.3735094
-66.892171,-37.63496
-64.2463684,-18.1349867
-50.9265321,-20.2047791
-48.852607,-15.7790592
-65.33162,-31.39817
-63.8210526,-18.1768764
-56.3918996,-20.229382
-74.2323017,-10.7219237
-70.2320608,-37.4080409
-57.687745,-28.982239
-47.5544444,-3.7488889
-58.160242,-20.077944
-52.113207,-18.05001
-60.4391384,-30.3423045
-56.6315174,-13.5407027
-59.9166667,-22.0833333
-65.346384,-24.515598
-47.9452915,-19.8003516
-60.3754079,-29.4138644
-62.9333,-37.1167
-50.51293,-19.259737
-47.7274847,-15.8457655
-60.8602778,-29.8919444
-58.8944006,-30.2946093
-58.9324665,-34.5583854
-42.978411,-5.007606
-47.8288293,-13.6524333
-55.5462665,-24.1162128
-69.676755,-12.0469872
-62.8913653,-38.7408731
-74.1173283,11.2696898
-58.160193,-31.809797
-77.94193,-3.01512
-69.423448,-11.363713
-48.196776,-15.671787
-43.470192,-6.964908
-74.5588875,-8.3914598
-61.1793423,-31.6613054
-53.7724435,-22.1590493
-58.5943794,-33.6488505
-60.634345,-10.039198
-66.2736424,-33.1330487
-65.0909907,-31.6494862
-64.8255157,-28.1903619
-49.152465,-16.431538
-45.016936,-12.420107
-50.749066,-4.566113
-65.6321767,-28.4650648
-56.9150726,-22.3787024
-64.1543412,-31.4558307
-65.1755249,-28.6088899
-58.6685908,-26.9629218
-64.2677427,-27.7166565
-65.214266,-24.215836
-65.4196358,-16.9726589
-64.3121624,-23.4482073
-65.096903,-28.614283
-63.1917242,-38.6094716
-65.2352972,-24.8805034
-63.5826944,-17.3989722
-65.72614,-30.57991
-75.814685,-5.43845
-64.287807,-32.194703
-58.6441183,-27.1185488
-63.50662,-19.104954
-55.5069208,-20.4592632
-63.9321256,-8.3134874
-63.2544385,-20.4595927
-56.8951667,-24.8721667
-54.9313945,-22.1949568
-63.9111669,-32.8898615
-58.2696094,-33.065723
-58.1921017,-31.2817784
-65.9358594,-32.3656552
-46.8231369,-21.7106801
-60.5493747,-29.3958433
-59.499017,-30.102441
-54.9164915,-2.5317818
-65.51802,-17.10393
-76.387726,-7.194245
-75.719335,-5.543144
-76.9396872,-1.0101126
-55.3896305,-19.2851499
-64.6257341,-3.4396997
-57.787571,-35.4603903
-65.2916002,-27.5144622
-62.880927,-38.56889
-59.7855405,-29.5488932
-57.4344387,-25.1243557
-71.7278749,-13.6039977
-64.2597091,-30.5782235
-59.063371,-27.3610851
-60.0495054,-21.9822869
-62.8770304,-30.8080581
-63.4175491,-31.1384848
-58.9229277,-27.4320748
-65.5492297,-28.8019364
-56.1460161,-9.6277989
-41.702778,-4.146543
-64.2936596,-23.9283424
-59.1406274,-25.7845511
-60.4814895,-31.238378
-45.2801557,-18.1782694
-56.8479395,-27.823592
-63.8722587,-8.6104544
-58.9169569,-31.4026525
-64.5212628,-25.0022265
-57.3279483,-26.73612
-63.2317981,-32.4426324
-62.6812935,-38.6495225
-58.5133836,-31.0247651
-62.7054977,-31.8749337
-65.10755,-28.6817404
-60.1609157,-29.2018382
-64.8749542,-14.8754463
-65.4032723,-24.6824435
-65.1002973,-31.0114162
-58.983935,-32.37196
-72.1616903,-3.3254884
-58.8117542,-31.3064071
-59.5697718,-30.7465958
-67.8065872,-32.2249277
-49.8449707,-6.1130752
-64.9866199,-31.9061608
-58.9237118,-38.1994647
-67.138634,-33.3544573
-48.138953,-10.303879
-45.0904655,-19.1139481
-65.7270865,-25.1575562
-55.9193373,-13.0721402
-60.1655338,-30.7399267
-44.26563,-2.49174
-60.0711429,-29.1152033
-60.5820297,-29.3170739
-59.4998449,-30.9543728
-58.2155442,-30.7932233
-58.8707328,-27.1396216
-49.3779552,-20.8369342
-65.05023,-30.7801
-64.7877648,-23.7893507
-62.138749,-20.5194883
-65.6646341,-33.0350929
-64.0054679,-30.6292344
-64.5183415,-30.6450751
-63.7250309,-29.9065982
-63.33906,-32.39281
-59.551373,-22.840515
-50.590142,-6.1565476
-64.5295822,-32.0929385
-75.8893,-0.407295
-64.321003,-36.6188344
-58.5523,-20.30386
-61.933279,-37.4621623
-66.2639093,-30.6319768
-63.14326,-24.45955
-62.4955133,-30.908875
-75.847831,-5.466052
-49.2844933,-16.5648475
-64.4152248,-24.9012734
-63.4379959,-17.9011071
-63.329001,-38.7883917
-49.853323,-10.756854
-59.4659901,-28.7442577
-60.9256468,-21.2272041
-47.5895548,-20.8932962
-63.3842582,-38.8412913
-61.7141853,-25.9224956
-64.42885,-31.8016
-60.1809179,-29.5125587
-63.3657941,-38.7218871
-65.6288333,-25.6625
-65.1484511,-25.1131666
-58.3698142,-26.3935035
-58.0590641,-32.7542026
-59.7975969,-29.4414662
-64.968853,-31.3738567
-58.8249722,-31.0471837
-43.94161,-19.149759
-57.5542023,-17.832892
-66.373897,-30.4132921
-49.0773594,-13.3487316
-43.3894086,-4.7685171
-66.1823194,-30.6776497
-59.3152606,-31.1894117
-56.41,-24.66
-64.5231589,-32.2121391
-57.3938549,-35.779205
-41.6554651,-4.163699
-65.7801762,-31.1825384
-65.2306,-30.3817
-68.205104,-9.998429
-69.4934365,-12.0698373
-66.8273792,-29.1736149
-60.2024532,-23.0265325
-64.5085645,-30.1793379
-66.110576,-32.598048
-68.6950938,-12.5639473
-54.5583009,-20.4374327
-47.8815937,-21.9863781
-76.3770933,-6.73055
-75.5949497,-5.238401
-70.598579,-3.6824508
-60.0176592,-30.6049196
-64.4730555,-17.8883333
-63.3782431,-23.2812351
-59.699362,-29.200527
-57.36,-22.68
-44.604922,-17.242638
-66.7772627,-32.3745974
-48.2600427,-20.8042475
-44.32087,-18.4391562
-64.913662,-30.151319
-64.2967558,-30.9580325
-59.2106927,-27.4252971
-63.790226,-31.7780881
-58.2044444,-19.9658333
-54.926043,-20.227099
-64.0719374,-38.310789
-66.1972511,-32.3735463
-67.8651127,-9.9549397
-49.3733495,-15.29784
-66.5505188,-32.1561973
-63.18462,-17.4480524
-60.2965736,-29.9203241
-60.2388341,-29.1026593
-58.3016632,-31.0839617
-69.114654,-12.226011
-62.6758945,-31.0968847
