"longitude","latitude"
-70.2640606,-3.8210089
-60.48,-35.65
-69.6109347,-13.1341434
-76.3740048,-0.486637
-65.5993652,-37.9983271
-62.5633333,-19.55
-64.1168976,-25.1272576
-59.62277,-26.822909
-58.5130003,-23.8261173
-72.3115826,-3.5439904
-65.4797709,-31.375999
-67.0003366,1.9501258
-62.4661111,-19.2436111
-55.8317728,-15.4071952
-61.66,-21.02
-73.0865479,-3.0472684
-73.6049652,-4.7413283
-63.1425476,-17.6578445
-62.835,-35.2806667
-69.2842054,-12.8318033
-63.2092381,-17.7502398
-64.9805556,-13.915
-73.4107344,-2.9885283
-55.9382629,-9.6410307
-64.4338889,-31.6427778
-75.6562473,-7.1334806
-70.063871,-3.1054997
-62.695,-19.6255556
-58.2115746,-31.8714351
-72.9148221,-3.2529136
-69.9959679,-3.0474113
-60.31,-20.31
-60.86,-22.65
-71.3711357,-12.8754776
-72.8496659,-3.4426683
-64.484836,-31.210371
-57.7333333,-25
-64.494908,-30.9732454
-59.3111111,-22.545
-67.475,-15.669
-55.8392492,-15.3846307
-60.3367853,-22.3563469
-56.3871574,-15.1155472
-65.0238017,-31.6753711
-63.1605721,-17.9483605
-61.8874226,-9.7298119
-63.1866457,-17.7210642
-64.9164534,-25.3122958
-59.25,-23.25
-75.490669,-0.602844
-58.57,-23.63
-43.9720384,-19.8740804
-58.3539677,-34.6082039
-71.8772631,-3.3919686
-72.9087496,-3.2492338
-77.6160838,-1.0858764
-69.2934027,-12.8369198
-57.38,-24.75
-62.58,-19.4236111
-62.7105081,-19.8005844
-76.4584038,-0.4720098
-64.4545626,-18.0127553
-63.0697632,-17.7664245
-57.9965603,-31.3699234
-62.9028525,-17.2220692
-48.1423044,-13.3459993
-62.3822222,-19.4391667
-57.0341492,-19.5148968
-74.4320297,-4.8951493
-76.8061066,-6.0494968
-63.5333,-31.25
-65.0042995,-32.342845
-58.836,-26.2473333
-59.6763889,-22.5402778
-72.7464437,-9.4264552
-57.1876144,-27.7103167
-57.0497222,-9.1338889
-66.5005845,-13.4442906
-64.66587,-17.82745
-62.5913889,-19.0283333
-60.425,-19.2608333
-57.66,-24.66
-60.2763889,-19.0166667
-64.5260681,-17.9157791
-72.9254205,-3.28426
-77.6138592,-1.0649259
-69.930814,-4.1474
-76.8593645,-2.5416598
-63.6929376,-17.4712913
-57.4751612,-15.642929
-64.9301434,-14.113031
-76.3974008,-0.6745278
-66.3997793,-27.5915558
-71.1529541,-12.0339482
-58.799,-23.499
-64.5701694,-31.9202587
-63.269577,-17.8689753
-60.6280518,-17.2772187
-70.173015,-4.3024262
-64.4573021,-31.2801647
-77.7387353,-1.0298594
-65.4720485,-32.8259142
-70.7038879,-12.3574416
-64.8495054,-23.7608379
-58.9556623,-27.3230512
-76.6116142,-0.4058041
-63.7578728,-31.300746
-70.80802,-12.27625
-46.3688144,-20.2441648
-76.1493409,-0.6375844
-62.5608333,-19.9222222
-64.47273,-31.39065
-73.4213745,-3.0095941
-64.6385207,-18.0963611
-66.1819725,-27.8567295
-66.3103437,-27.5829432
-59.2666667,-19.5833333
-62.7257538,-30.9396299
-59.5865822,-18.3301391
-72.211344,-3.479624
-69.6744112,-13.4843178
-61.6166667,-23.1666667
-69.7421515,-2.8890823
-72.7567649,-9.5340984
-77.536,-2.416
-62.6166667,-14.6333333
-76.3308,-1.06721
-62.3113889,-19.5308333
-62.8222489,-38.4102633
-72.75,-3.58
-64.6585482,-30.7647477
-58.7425232,-33.492162
-73.3230972,-3.0270408
-71.0944712,-12.1405997
-72.7161026,-3.4497494
-70.9404802,-3.9740322
-57.9593825,-35.7869054
-60.0333333,-22.35
-57.88,-24.75
-64.633333,-24.7
-56.3044081,-19.9526426
-58.331,-24.081
-48.2577467,-13.499864
-60.7340784,-9.1587927
-60.5397222,-19.4322222
-42.5550652,-8.8289964
-64.2944598,-31.3417254
-60.6205556,-19.2952778
-61.86,-38.1176667
-62.4588889,-19.4575
-75.2581501,-0.5752276
-58.2985174,-31.9789171
-67.5084356,-30.6882296
-69.93536,-4.1786485
-59.975481,-2.9300332
-72.9309911,-3.2398987
-71.2225628,-11.9977657
-76.041603,-0.548078
-60.2672222,-19.0536111
-59.3397222,-22.5694444
-60.8097932,-18.516781
-57.75,-25.16
-69.9459466,-4.0875889
-58.790927,-33.498552
-69.2998994,-12.8024426
-64.4833333,-30.9333333
-73.6013603,-3.9318012
-62.0405556,-16.1344444
-65.0934792,-40.8151084
-65.470785,-34.747397
-64.6781968,-30.062213
-69.6006954,-12.9978882
-58.1423333,-25.044
-47.5195579,-6.6609328
-47.907815,-15.800306
-62.5525,-19.9080556
-71.3855,-12.7717
-63.0811111,-19.7841667
-62.5213889,-18.9591667
-71.49185,-13.0236
-58.5833333,-23.9333333
-62.5086111,-19.175
-58.6825,-33.4677778
-77.8114981,-0.9753243
-62.1997222,-19.9016667
-64.6960831,-31.6603951
-76.4284649,-0.4892337
-64.5409456,-31.4712308
-62.7077159,-30.9583086
-64.5990337,-30.9666303
-70.2333333,-3.85
-62.6906061,-19.937407
-60.1138186,-2.5856297
-55.93209,-9.597608
-70.7052178,-12.4124209
-59.5591667,-22.6583333
-64.537468,-30.8040772
-77.2647346,-0.8779374
-59.0452778,-22.6272222
-49.8598936,-21.53655
-58.4591667,-22.6497222
-59.7522222,-21.1441667
-50.034501,-6.088228
-47.8728314,-15.8440243
-60.0216667,-23.6930556
-65.3716667,-10.2263889
-50.1917267,-6.05043
-59.4235989,-28.5177961
-59.8166667,-22.5
-57.45,-24.8833333
-70.100114,-12.56893
-62.9574966,-36.7498885
-59.32,-22.6805556
-63.5983515,-18.1051884
-58.7544444,-19.845
-55.764636,-15.4580275
-65.4774857,-26.2236
-44.802973,-17.3972325
-73.3223361,-3.828593
-57.83,-25.06
-70.685169,-12.436083
-59.3025,-19.9838889
-71.23127,-12.656502
-63.985,-11.5902778
-60.3166667,-22.9333333
-58.7819444,-19.7802778
-73.0766344,-3.5174047
-63.8420911,-18.1724825
-60.5989853,-22.0192332
-62.6998329,-19.7702427
-60.528274,-23.525338
-60.8522672,-31.8127625
-58.8817833,-34.19895
-63.422699,-30.9128292
-71.1035156,-12.4204832
-63.5380554,-30.509625
-65.3988647,-25.2859899
-57.1742249,-28.5355205
-55.8338447,-15.3007583
-62.51,-22.25
-60.9570408,-31.766462
-77.8633118,-4.5977854
-59.05,-22.3166667
-56.8142026,-29.4719135
-61.58,-20.29
-50.0194162,-6.0745515
-57.751,-30.521
-57.7203552,-30.4898359
-64.7236736,-31.8826962
-64.71595,-37.39906
-65.1756406,-32.3356983
-63.0771446,-38.6227717
-76.7784615,-0.4489345
-64.9922419,-32.3200124
-67.503603,-14.667813
-59.7,-19.95
-58.2220262,-26.3433236
-57.6166667,-25.2666667
-70.2948,-4.2889
-59.83,-23.85
-68.4969444,-34.815
-76.282413,-0.435816
-58.295,-24.1833
-59.2121887,-29.7834495
-58.36,-24.15
-71.7213478,-12.0685758
-56.2204742,-20.2918254
-64.5834732,-18.0939706
-65.007273,-32.3328156
-59.7588889,-22.1036111
-63.9315204,-30.0948703
-63.8111901,-30.6232519
-70.2908278,-4.2517611
-69.5350027,-11.3958817
-58.67,-24.28
-64.9604416,-25.7792621
-63.4708333,-21.3066667
-63.4161111,-21.8386111
-61.0025954,-31.2402148
-76.410803,-0.48796
-63.0838889,-21.8380556
-55.9648456,-20.0956205
-64.933877,-14.5406345
-61.0839844,-14.8810872
-70.722304,-12.3379287
-76.3814163,-0.5293962
-77.2582684,-6.0132866
-55.9080184,-9.5555553
-76.4458323,-0.5324859
-78.3167,-4.8501
-47.2812875,-4.7011122
-61.1925817,-31.6994442
-63.4838889,-20.1366667
-59.9341965,-30.57645
-56.0055542,-15.318625
-48.1659079,-18.8061368
-58.56,-24.26
-48.0762362,-18.8623515
-47.3052778,-4.8855556
-57.6795,-30.9021667
-58.6637843,-30.32273
-67.0770264,-0.1284026
-76.1289454,-0.3985087
-64.828695,-18.135967
-44.9355412,-17.3496553
-57.76,-24.49
-60.0166667,-21.7333333
-64.508763,-13.8054294
-59.9606323,-3.2529507
-61.7847662,-28.5184529
-48.287251,-18.7906583
-66.8145275,-14.0708522
-61.8002844,-28.5381596
-77.3979266,-1.0323908
-56.6384,-16.2409
-61.9166667,-22.5333333
-46.4955139,-20.2506019
-47.8837824,-15.7455017
-59.2921829,-29.7673949
-76.461671,-0.4574955
-79.4194257,9.1679837
-59.6525,-23.08444
-57.64,-24.86
-68.1359439,-13.7967996
-66.3290548,-30.3453985
-57.9311228,-30.9694134
-62.5540924,-30.7996538
-79.4110171,9.1840343
-61.7585,-24.28
-58.849795,-24.9919913
-76.6763306,-0.4614208
-58.5161018,-25.9112694
-58.772316,-33.4483883
-64.5180004,-30.8711951
-63.5047679,-19.3547771
-65.2798333,-24.4413333
-64.9830572,-22.2527456
-67.9237318,-14.1669406
-65.2744102,-27.4261172
-62.2301373,-40.5551811
-60.2975983,-24.3497255
-58.057251,-28.0113766
-55.4054647,-20.5229363
-63.1654429,-17.9122251
-59.1394043,-23.150462
-73.4189904,-3.967219
-67.621,-27.6815
-74.40966,-3.5222
-70,-4
-56.774826,-17.365132
-68.9888191,-11.0316002
-53.7336588,-32.1323944
-58.0874634,-29.1872557
-62.5204468,-21.610834
-50.7080412,-11.7139099
-60,-22.5
-73.2604951,-3.6990999
-61.4053345,-21.3853112
-71.0866667,-12.1247222
-63.6846223,-23.3451576
-63.1035,-23.3801667
-55.8405394,-20.5362481
-60.3808594,-22.187405
-66.4367782,-30.6385377
-74.0588379,4.6366545
-58.671424,-33.502181
-59.3833333,-22.55
-58.541591,-34.306755
-69.2385864,-11.0503862
-67.714963,-29.3475788
-69.1890212,-12.6271581
-57.98069,-34.9234489
-57.255249,-28.4798776
-64.228713,-17.404819
-59.7319794,-22.5182657
-77.3105297,-0.6992599
-59.1998291,-16.4044705
-60.6665039,-21.9379502
-58.8592529,-23.4456088
-58.2691667,-20.1841667
-55.072978,-19.9323308
-62.9475403,-20.5562953
-64.2057831,-24.7341044
-64.2815262,-32.4826057
-56.9495201,-10.3420245
-57.42455,-28.6553
-60.0042343,-26.2607834
-54.3942192,-21.4711336
-50.399262,-20.182551
-57.9764156,-31.617647
-76.0084337,-9.2695019
-76.35314,-6.48359
-63.1713867,-38.2338654
-50.162386,-19.316547
-64.4327438,-33.5373169
-56.7310059,-20.7397399
-68.2248187,-29.3197437
-64.6005603,-31.078122
-57.4166667,-26.7833333
-58.0898881,-32.4747225
-60.588398,-24.7041082
-60.6939697,-24.1492598
-68.9110565,-12.9510292
-63.8519814,-23.2181132
-59.9386662,-26.0430301
-65.3775358,-35.1306142
-60.1555758,-26.7054324
-76.2238312,-0.4284628
-71.37564,-12.87021
-70.8876514,-12.2846565
-48.702178,-18.0248535
-50.369034,-19.851149
-69.2015076,-12.603921
-70.6012344,-12.4396777
-64.2923784,-32.4736364
-58.7997293,-33.5003217
-63.8835927,-24.3809485
-70.9588207,-12.3417902
-47.6975083,-15.5883582
-76.71999,-6.31142
-61.8373632,-26.2295286
-64.9856056,-31.7958909
-67.9833333,-32.3833333
-64.9601841,-24.9183553
-55.9598923,-28.3811309
-73.243592,-3.751362
-60.9621497,-8.494205
-57.9575952,-32.5293613
-63.167147,-17.687295
-64.9812126,-32.4999898
-63.1938092,-17.8311014
-64.6456146,-29.9986517
-64.7206306,-15.1914344
-64.9460888,-14.7246315
-39.0204763,-9.944081
-59.95,-22.7666667
-69.221284,-12.585602
-67.910668,-34.033934
-70.5211111,-2.7180556
-70.7154751,-12.4047243
-70.7711792,-12.2970683
-65.0528696,-9.600436
-64.5917559,-31.3555426
-58.7979996,-33.4936711
-58.5618281,-33.0013744
-73.41088,-3.95252
-63.9936018,-30.3016125
-69.2119789,-12.6482107
-65.1664024,-29.332983
-71.4858333,-2.6105556
-59.7895825,-29.7648058
-64.7044301,-30.7908985
-58.7148321,-33.67289
-57.1384335,-28.537481
-67.6224482,-39.1128177
-73.2609558,-4.3460689
-43.6075,-19.3539
-47.1434645,-7.2392076
-66.6333,-33.6667
-73.4918806,-3.8805286
-74.7399902,-5.4136796
-60.9156717,-31.3851837
-60.5024848,-32.9029361
-78.656961,-4.262422
-73.4569962,-3.8756619
-65.4047259,-9.6721695
-77.6290512,-5.6838741
-67.2934914,2.6546512
-65.3724836,-9.6035654
-64.9588889,-31.7591667
-73.4336472,-4.4730646
-69.1844838,-11.2767249
-63.2694444,-18.7105556
-63.2828728,-23.8537387
-69.212685,-11.710204
-65.0546837,-32.3302954
-77.5972295,-0.6773171
-66.6560054,-33.5033992
-57.109585,-28.519812
-58.028,-31.4618333
-57.317,-25.237
-48.3338161,-10.1867471
-64.5694444,-18.1091667
-57.1729782,-28.5771504
-64.9254227,-25.8579878
-66.0984278,-13.763229
-65.5809126,-28.0769821
-67.4700722,-14.4660917
-63.1955556,-18.0530556
-58.7111092,-33.2978211
-68.8568974,-32.5861105
-77.9685645,-5.8240453
-63.4294671,-20.3640413
-69.2588264,-12.7803409
-49.6118094,-10.7924027
-66.2949207,-27.5849011
-67.9129333,-34.0504491
-63.6470604,-18.1201578
-59.8333333,-22.3833333
-67.0092255,-32.4981891
-63.7281275,-17.5218637
-57.463426,-28.7122606
-73.5920048,-4.5584577
-68.8224291,-12.4359181
-48.0302578,-15.8321411
-64.6657097,-30.8272968
-69.052889,-12.541598
-58.072117,-32.586065
-64.02504,-30.09247
-59.7193548,-5.538168
-65.2182662,-32.1765206
-56.6015625,-19.668453
-64.2701869,-36.9134194
-59.5436552,-22.3479387
-71.3665009,-12.6943516
-71.153446,-12.480751
-59.6940347,-5.2561767
-51.6522209,-20.7487447
-71.39072,-12.82953
-56.6208333,-16.3786111
-57.1097422,-28.5859256
-73.2825,-4.2984897
-43.3623939,-4.8673416
-58.5858178,-26.3234602
-70.354519,-3.780409
-65.412147,-32.3148326
-65.105238,-24.6582112
-69.7450561,-12.7163429
-55.824666,-15.4440009
-64.9890724,-32.6751653
-64.9469233,-31.0668033
-64.26283,-31.36207
-63.1262104,-20.2193063
-58.5641563,-26.4091483
-64.4721186,-31.0241633
-76.7317933,-1.1036822
-66.05,-33.1167
-56.0308621,-15.4409717
-60.3282,-24.3905
-71.22954,-12.00496
-38.7072236,-9.9541615
-64.3687248,-24.067945
-47.63283,-15.67814
-63.185996,-17.877395
-64.217525,-31.1895732
-69.1926241,-32.956393
-64.5956298,-30.9528706
-60.2993,-24.4168
-55.9214509,-9.573283
-57.5400139,-25.2425694
-70.661319,-12.455542
-73.2432532,-3.6353205
-62.963,-19.988
-60.8785915,-2.6397012
-78.6594211,-4.2488048
-63.3336667,-24.1506667
-70.132043,-13.194839
-69.5846128,-13.0773464
-45.9379578,-20.4460797
-76.3372993,1.1323764
-65.1844865,-30.905907
-58.08554,-24.97734
-59.9539375,-29.9807013
-48.4577402,-14.4108839
-62.6909924,-20.0089194
-64.7190857,-29.8612099
-69.2011052,-32.9591084
-66.0099792,-28.7210215
-57.8841949,-31.8394306
-71.40751,-11.887532
-57.7371667,-37.9393333
-57.97726,-28.98679
-77.8107437,-5.6958272
-45.1306772,-22.119915
-64.2827322,-32.64029
-77.649207,-1.065803
-71.2063837,-12.5804498
-65.0318,-32.15952
-56.69135,-16.4569228
-47.8065348,-18.5232366
-64.500713,-23.934569
-44.8986225,-17.3361207
-57.5676667,-25.282
-71.42432,-12.97113
-76.299959,-7.396457
-69.5818233,-13.0761341
-65.0535464,-31.9857522
-57.6418333,-30.196
-59.9732924,-17.8226509
-57.495989,-30.197908
-70.4622746,-3.7548054
-64.8858118,-7.3387708
-62.4367996,-39.5520559
-70.0661016,-12.8590839
-46.65734,-7.25983
-70.2413893,-12.9836495
-64.8455572,-7.3194464
-60.4826803,-32.3214698
-64.75094,-32.66021
-73.91,-6.265
-61.7019653,-31.9107875
-60.226433,-21.80411
-73.8655556,-5.81
-58.9696795,-27.6927529
-58.7443786,-30.3827223
-66.1473083,-39.1642741
-77.0472565,-6.0299621
-69.401,-11.24318
-62.7058411,-32.4390177
-71.2244,-12.576
-64.3040322,-39.4665823
-76.2902641,-6.4516226
-67.2010088,-14.2658492
-64.0597183,-25.085708
-61.9425488,-24.0930144
-71.4037514,-12.8949792
-47.4125719,-7.1006372
-56.6988087,-17.2826279
-67.325798,-3.270533
-76.9831753,-0.4710335
-44.0281981,-19.9801853
-65.053403,-32.054812
-76.3941193,-7.1513119
-63.1839584,-17.8394844
-67.1175,-32.5755
-64.4639808,-27.5764886
-65.1392236,-31.3714785
-59.2241667,-23.1105556
-61.7807342,-24.2355033
-63.53003,-20.01502
-64.5501494,-30.8532879
-47.7587756,-15.7557725
-49.650178,-5.9746316
-59.9776268,-30.2454251
-76.3776398,-7.481623
-60.7398462,-17.847898
-64.5667,-32.8833
-62.449986,-37.660019
-60.5197334,-31.725685
-58.6794698,-27.5523021
-64.8568,-25.2313
-57.7224684,-25.2016018
-64.51124,-31.04864
-64.5286098,-30.4188853
-50.635486,-18.95485
-60.3272377,-31.7233277
-64.6143551,-17.857296
-62.8685975,-24.1629649
-65,-25.1333333
-64.4062114,-30.7746588
-65.2944732,-24.6849105
-58.7829709,-33.3734378
-65.5232763,-25.2694585
-68.383972,-32.100979
-59.4513576,-30.6931518
-62.8841962,-30.9391045
-65.801239,-28.1635886
-77.4536937,-1.000338
-48.9263157,-16.647198
-58.4660196,-30.5912281
-70.151211,1.2216106
-64.4127023,-33.5940669
-57.57885,-25.2374
-57.6998091,-25.2252861
-64.1707842,-31.4212797
-62.533,-33.69908
-54.6708333,-20.4576851
-58.2154155,-26.2185951
-58.6546326,-33.7197708
-58.5235718,-32.4266328
-58.6196136,-27.290028
-64.362199,-27.6510476
-69.338665,-12.7905868
-63.925007,-30.076109
-69.4091749,-12.8750659
-57.8906751,-28.4021973
-64.9619768,-32.3551321
-58.6992323,-33.4412719
-64.960977,-14.764174
-65.0938654,-32.2401018
-60.2380197,-29.3486616
-63.9485639,-31.6485472
-58.683815,-27.1624189
-64.856893,-27.5026315
-57.5102005,-30.2308282
-57.5632364,-28.6833216
-70.2411,1.19912
-57.6378608,-25.2545938
-54.8974907,-19.9391344
-58.2588072,-31.8654354
-48.2773686,-18.9892543
-57.8437364,-31.5366825
-57.9624047,-30.65664
-64.5630108,-31.4782015
-45.25663,-21.18511
-54.6735477,-20.4587003
-64.260377,-31.3283673
-60.918932,-31.3842701
-40.5199467,-9.4137329
-64.3047222,-31.2016667
-77.38062,-1.06356
-43.695571,-6.870782
-48.247672,-10.231259
-65.2384917,-26.5661333
-60.6365986,-32.1298495
-58.0037797,-31.2722134
-66.3218927,-33.2786922
-48.300823,-1.2025532
-60.2672675,-29.3468397
-58.93806,-30.45291
-57.7179623,-25.2086431
-65.0504351,-32.1650051
-77.793889,-2.9736845
-70.072163,1.124989
-64.4813199,-31.3463344
-64.2502329,-31.3871277
-48.29007,-3.73145
-48.7665939,-15.7796994
-50.0143576,-6.392157
-60.2558333,-29.6922222
-77.6643983,-1.0385028
-58.0342054,-30.7469626
-46.2077665,-16.0488654
-65.2498627,-24.4501968
-63.74184,-30.73364
-56.9726515,-29.78263
-77.596049,-1.022211
-58.7186193,-33.4069274
-61.8344879,-26.0089669
-56.7934842,-28.3081502
-61.149559,-30.198553
-70.2384067,1.2205831
-67.9088026,-14.1624188
-65.7511246,-28.5928308
-75.869807,-0.6229021
-55.8460379,-20.3089718
-59.9421075,-32.4041078
-65.0103806,-31.9805104
-59.0155184,-26.8925451
-65.014169,-32.382735
-47.936787,-15.849359
-57.56,-25.1
-60.1955925,-29.4648854
-43.669865,-6.956778
-63.2966566,-25.6052832
-43.639576,-6.887932
-61.6475487,-1.8321926
-65.0936111,-24.3858333
-55.757761,-20.4472807
-62.9089808,-23.5153434
-60.3772545,-29.5821906
-62.9112339,-16.3735094
-66.892171,-37.63496
-64.2463684,-18.1349867
-50.9272206,-20.2115422
-48.852607,-15.7790592
-57.5991667,-30.2605
-65.1833,-31.4167
-63.8210526,-18.1768764
-56.38,-20.265847
-74.2323017,-10.7219237
-58.377505,-30.618929
-70.2774918,-37.3733034
-57.687745,-28.982239
-58.7574577,-30.4105597
-47.5544444,-3.7488889
-64.9365056,-27.5032469
-58.160242,-20.077944
-52.113207,-18.05001
-47.821543,-15.825589
-60.4391384,-30.3423045
-56.6315174,-13.5407027
-59.7871256,-22.4674518
-65.047932,-24.379479
-57.705667,-30.5879402
-59.9166667,-22.0833333
-63.2050865,-17.7713167
-65.3706798,-24.5726858
-47.96324,-19.75791
-60.3754079,-29.4138644
-62.9333,-37.1167
-50.51293,-19.259737
-57.5674582,-30.3291014
-47.7274847,-15.8457655
-60.8602778,-29.8919444
-58.8944006,-30.2946093
-58.9324665,-34.5583854
-42.978411,-5.007606
-47.8288293,-13.6524333
-59.2350626,-23.0814081
-77.7141094,-2.9215256
-55.5462665,-24.1162128
-69.676755,-12.0469872
-57.0380652,-19.5748125
-62.9666,-38.75
-74.1173283,11.2696898
-58.160193,-31.809797
-77.94193,-3.01512
-69.490341,-11.361684
-48.2262549,-15.7389134
-43.470192,-6.964908
-74.5588875,-8.3914598
-58.0758762,-29.1844633
-61.1793423,-31.6613054
-53.7724435,-22.1590493
-57.416485,-28.687989
-58.5943794,-33.6488505
-60.634345,-10.039198
-66.2736424,-33.1330487
-65.047287,-31.63414
-64.8255157,-28.1903619
-49.0925,-16.4191667
-45.016936,-12.420107
-50.749066,-4.566113
-58.7310004,-27.0644621
-64.3755639,-27.6551701
-59.9582752,-30.636946
-65.6321767,-28.4650648
-56.9150726,-22.3787024
-64.1543412,-31.4558307
-65.1755249,-28.6088899
-58.6685908,-26.9629218
-63.0377869,-38.5630132
-64.2199373,-27.7891245
-65.214266,-24.215836
-65.4196358,-16.9726589
-65.0332822,-31.7302409
-64.3121624,-23.4482073
-65.1317572,-28.6367193
